category,yyyy,mm,platform_type,gmv
기타서비스,2017,06,web,18198
기타,2017,06,web,99948
컴퓨터 및 주변기기,2017,07,mobile,128025
가전·전자·통신기기,2017,07,mobile,494107
서적,2017,07,mobile,47351
사무·문구,2017,07,mobile,18084
의복,2017,07,mobile,495098
신발,2017,07,mobile,92518
가방,2017,07,mobile,107525
패션용품 및 액세서리,2017,07,mobile,106286
스포츠·레저용품,2017,07,mobile,158771
화장품,2017,07,mobile,360699
아동·유아용품,2017,07,mobile,191882
음·식료품,2017,07,mobile,404744
농축수산물,2017,07,mobile,118131
생활용품,2017,07,mobile,373275
자동차 및 자동차용품,2017,07,mobile,52762
가구,2017,07,mobile,126482
애완용품,2017,07,mobile,35931
여행 및 교통서비스,2017,07,mobile,736121
문화 및 레저서비스,2017,07,mobile,69376
e쿠폰서비스,2017,07,mobile,76023
음식서비스,2017,07,mobile,197324
기타서비스,2017,07,mobile,27703
기타,2017,07,mobile,75734
컴퓨터 및 주변기기,2017,07,web,252949
가전·전자·통신기기,2017,07,web,432760
서적,2017,07,web,95733
사무·문구,2017,07,web,35743
의복,2017,07,web,392273
신발,2017,07,web,48228
가방,2017,07,web,44194
패션용품 및 액세서리,2017,07,web,63749
스포츠·레저용품,2017,07,web,133912
화장품,2017,07,web,258757
아동·유아용품,2017,07,web,72696
음·식료품,2017,07,web,233432
농축수산물,2017,07,web,64551
생활용품,2017,07,web,240315
자동차 및 자동차용품,2017,07,web,41482
가구,2017,07,web,85175
애완용품,2017,07,web,22569
여행 및 교통서비스,2017,07,web,643280
문화 및 레저서비스,2017,07,web,82271
e쿠폰서비스,2017,07,web,15604
음식서비스,2017,07,web,27301
기타서비스,2017,07,web,24316
기타,2017,07,web,93311
컴퓨터 및 주변기기,2017,08,mobile,135562
가전·전자·통신기기,2017,08,mobile,399471
서적,2017,08,mobile,49898
사무·문구,2017,08,mobile,19625
의복,2017,08,mobile,419251
신발,2017,08,mobile,77350
가방,2017,08,mobile,115821
패션용품 및 액세서리,2017,08,mobile,110615
스포츠·레저용품,2017,08,mobile,143884
화장품,2017,08,mobile,372187
아동·유아용품,2017,08,mobile,190684
음·식료품,2017,08,mobile,437977
농축수산물,2017,08,mobile,125578
생활용품,2017,08,mobile,386060
자동차 및 자동차용품,2017,08,mobile,53285
가구,2017,08,mobile,136077
애완용품,2017,08,mobile,37525
여행 및 교통서비스,2017,08,mobile,760584
문화 및 레저서비스,2017,08,mobile,83259
e쿠폰서비스,2017,08,mobile,83577
음식서비스,2017,08,mobile,219093
기타서비스,2017,08,mobile,30697
기타,2017,08,mobile,76238
컴퓨터 및 주변기기,2017,08,web,280831
가전·전자·통신기기,2017,08,web,359011
서적,2017,08,web,100090
사무·문구,2017,08,web,38125
의복,2017,08,web,338973
신발,2017,08,web,40961
가방,2017,08,web,47640
패션용품 및 액세서리,2017,08,web,67589
스포츠·레저용품,2017,08,web,122467
화장품,2017,08,web,280375
아동·유아용품,2017,08,web,72846
음·식료품,2017,08,web,254664
농축수산물,2017,08,web,68512
생활용품,2017,08,web,245562
자동차 및 자동차용품,2017,08,web,39414
가구,2017,08,web,90905
애완용품,2017,08,web,23065
여행 및 교통서비스,2017,08,web,645755
문화 및 레저서비스,2017,08,web,101624
e쿠폰서비스,2017,08,web,17291
음식서비스,2017,08,web,34667
기타서비스,2017,08,web,21923
기타,2017,08,web,103067
컴퓨터 및 주변기기,2017,09,mobile,128865
가전·전자·통신기기,2017,09,mobile,363151
서적,2017,09,mobile,47891
사무·문구,2017,09,mobile,20792
의복,2017,09,mobile,525271
신발,2017,09,mobile,90408
가방,2017,09,mobile,116864
패션용품 및 액세서리,2017,09,mobile,107005
스포츠·레저용품,2017,09,mobile,141138
화장품,2017,09,mobile,385834
아동·유아용품,2017,09,mobile,196306
음·식료품,2017,09,mobile,511044
농축수산물,2017,09,mobile,166426
생활용품,2017,09,mobile,388499
자동차 및 자동차용품,2017,09,mobile,50478
가구,2017,09,mobile,135835
애완용품,2017,09,mobile,41752
여행 및 교통서비스,2017,09,mobile,684418
문화 및 레저서비스,2017,09,mobile,52535
e쿠폰서비스,2017,09,mobile,83024
음식서비스,2017,09,mobile,209012
기타서비스,2017,09,mobile,32185
기타,2017,09,mobile,87334
컴퓨터 및 주변기기,2017,09,web,270647
가전·전자·통신기기,2017,09,web,343507
서적,2017,09,web,88774
사무·문구,2017,09,web,39683
의복,2017,09,web,434408
신발,2017,09,web,49838
가방,2017,09,web,48352
패션용품 및 액세서리,2017,09,web,63340
